Date,Deal Type,Chinese Party,Foreign Party,Asset,Therapeutic Area,Stage,Total Value (USD),Upfront (USD),Territory,Modality,Highlights,Source,Source URL
May 2025,licensing-out,3SBio,Pfizer,SSGJ-707 (PD-1/VEGF bispecific antibody),"Oncology – NSCLC, Colorectal, Ovarian Cancer",Phase 2,$6.15B,$1.25B + $100M equity,Global ex-China,Bispecific Antibody,"Pfizer paid $1.25B upfront plus $100M equity for ex-China rights to 3SBio's SSGJ-707, a PD-1/VEGF bispecific antibody with up to $4.8B in milestones plus double-digit royalties. This slots Pfizer into the red-hot PD-1/VEGF bispecific race behind Summit/Akeso's ivonescimab and BioNTech's BNT327. SSGJ-707 is in four Phase 2 trials and set to enter Phase 3 in first-line PD-L1+ NSCLC in China.",FierceBiotech,https://www.fiercebiotech.com/biotech/pfizer-pays-3sbio-125b-pd-1xvegf-bispecific-joining-biontech-merck-and-summit-red-hot-race
June 2025,licensing-out,3SBio,Pfizer,PD-1xVEGF bispecific antibody,Oncology,Phase 3,Not disclosed,$1.25B,Global ex-China,,"Pfizer paid a massive $1.25B upfront for ex-China rights to 3SBio's PD-1xVEGF bispecific antibody, positioning it as a potential Keytruda challenger. This deal is part of the bispecific antibody wave in oncology, following the success of Akeso's ivonescimab. One of the largest upfront payments for a China-origin asset in 2025.",FierceBiotech,https://www.fiercebiotech.com/biotech/accelerate-drug-development-china-proposes-shorten-clinical-trial-review-time
June 2025,licensing-out,Hansoh Pharma,Regeneron,GLP-1/GIP agonist (obesity),Metabolic – Obesity,Phase 2,$2B,Not disclosed,Global ex-China,,"Regeneron entered the obesity race with a potential $2B deal for Hansoh Pharma's GLP-1/GIP agonist, aiming to challenge Eli Lilly's Zepbound. This deal signifies China's emergence as a source of next-gen metabolic therapies, not just oncology assets. Reflects the massive commercial opportunity in the obesity drug market.",FierceBiotech,https://www.fiercebiotech.com/biotech/accelerate-drug-development-china-proposes-shorten-clinical-trial-review-time
June 2025,newco-spinout,RemeGen,Vor Biopharma,Telitacicept (BLyS/APRIL dual-target fusion protein),Immunology – Autoimmune Diseases,Approved,$4B,$45M,Global ex-China,Fusion Protein,"Vor Bio pivoted from cell therapy to license RemeGen's telitacicept, a first-in-class BAFF/APRIL fusion protein already approved in China for autoimmune diseases. Despite $4B total value, the heavily back-loaded deal structure with only $45M upfront for an approved drug drew investor criticism, echoing the Hengrui-Aiolos dynamic where small upfronts undervalue Chinese assets.",FierceBiotech,https://www.fiercebiotech.com/pharma/vor-bio-surprise-4b-revival-deal-remegen-autoimmune-drug-triggers-divergent-stock-reactions
June 2025,licensing-out,Simcere Pharmaceutical,NextCure,Phase 1 ADC (oncology),Oncology,Phase 1,$745M,Not disclosed,Not disclosed,ADC,"NextCure licensed a Phase 1 ADC from Simcere as part of its strategic pivot toward ADCs, following its decision to abandon existing clinical candidates. This is Simcere's second major out-licensing deal after AbbVie's $1B trispecific antibody pact earlier in 2025, demonstrating Simcere's emergence as a multi-asset China out-licensing platform.",FierceBiotech,https://www.fiercebiotech.com/biotech/nextcure-continues-adc-pivot-745m-deal-simceres-phase-1-drug
June 2025,licensing-out,Simcere Pharmaceutical,AbbVie,Phase 1 trispecific antibody,Oncology,Phase 1,$1B,Not disclosed,Not disclosed,Bispecific Antibody,"AbbVie struck a $1B biobucks deal with Simcere for a Phase 1 trispecific antibody, marking an early-stage but high-value bet on a novel multispecific format from China. Combined with the NextCure ADC deal, Simcere has now out-licensed two oncology assets in 2025 worth a combined $1.75B, establishing it as a prolific China licensing partner.",FierceBiotech,https://www.fiercebiotech.com/biotech/nextcure-continues-adc-pivot-745m-deal-simceres-phase-1-drug
June 2025,co-development,CSPC Pharmaceutical Group,AstraZeneca,AI-driven oral drug discovery platform (immunological diseases and chronic conditions),Immunology – Autoimmune / Chronic Diseases,Preclinical,$5.3B,$110M,Global,Small Molecule,"AstraZeneca deepened its CSPC partnership with a $5.3B AI-led research collaboration to discover oral drugs for immunological and chronic diseases. CSPC will conduct AI-driven research in Shijiazhuang. This is AstraZeneca's third major CSPC deal after October 2024 cardiovascular and 2025 obesity deals, reflecting AZ's heavy commitment to Chinese biotech innovation and AI-enabled drug discovery.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/astrazeneca-agrees-research-deal-worth-up-522-billion-with-cspc-2025-06-13/
June 2025,co-development,CSPC Pharmaceutical Group,AstraZeneca,AI-driven oral drug discovery platform for chronic diseases,Chronic Disease (multiple),Platform,$5.3B,$110M,Global,Small Molecule,"AstraZeneca returned to CSPC with $110M upfront to leverage CSPC's AI-driven dual-engine drug discovery platform to find oral drugs for chronic diseases. With up to $1.62B in development milestones and $3.6B in sales milestones, the deal deepens AZ's China-based R&D presence. CSPC's AI platform analyzes binding patterns of target proteins with existing compound molecules to identify those with highest clinical trial success probability.",FierceBiotech,https://www.fiercebiotech.com/biotech/astrazeneca-pens-53b-pact-use-cspcs-ai-platform-develop-oral-drugs-chronic-diseases
June 2025,licensing-out,Hansoh Pharmaceuticals,Regeneron,HS-20094 (GLP-1/GIP receptor agonist for obesity),Metabolic – Obesity,Phase 3,$2B,$80M,Global ex-China,Peptide,"Regeneron paid $80M upfront to Hansoh Pharma for ex-China rights to HS-20094, a Phase 3-stage GLP-1/GIP dual agonist with a 'potentially similar profile' to Eli Lilly's Zepbound. With up to $1.93B in milestones, the deal gives Regeneron a late-stage obesity asset to study in combination with its proprietary anti-activin antibody garetosmab. The deal tested in 1,000+ patients reflects China's rapid emergence in the GLP-1 obesity space.",FierceBiotech,https://www.fiercebiotech.com/biotech/regeneron-pens-2b-pact-hansohs-potential-rival-zepbound
July 2025,licensing-out,Hengrui Pharma,GSK,HRS-9821 (dual PDE3/PDE4 inhibitor for COPD) plus options on 11 additional programs,"Respiratory – COPD, Oncology, Immunology",Phase 1,$12B,$500M,Global ex-Greater China,Small Molecule,"GSK paid a massive $500M upfront for Hengrui's inhaled PDE3/PDE4 inhibitor HRS-9821 for COPD, with options on 11 more programs across respiratory, oncology and immunology worth up to $12B total. This is one of the largest single-upfront China licensing deals ever, signaling that Hengrui has become a platform-level partner for Big Pharma. Jefferies noted one-third of industry licensing spending in H1 2025 involved China-originated drugs.",BioPharma Dive,https://www.biopharmadive.com/news/gsk-hengrui-collaboration-copd-immunology-cancer-drugs/754161/
July 2025,licensing-out,Jiangsu Hengrui Pharmaceuticals,GSK,HRS-9821 (inhaled PDE3/PDE4 inhibitor for COPD) + options on up to 11 additional drugs,Respiratory – COPD / Immunology / Oncology,Phase 1,$12B (if all options exercised),$500M,Global ex-Greater China and Taiwan,Small Molecule,"GSK paid $500M upfront for Hengrui's COPD candidate HRS-9821 plus options on 11 additional therapies across respiratory, immunology and oncology. Total deal value could reach $12B if all options are exercised and milestones met. This is the largest and broadest platform deal from Hengrui, making it China's most prolific out-licensor. The deal underscores GSK's confidence in Hengrui's diverse pipeline and reflects the trend where 1/3 of pharma licensing spend in H1 2025 involved China-originated drugs.",BioPharma Dive,https://www.biopharmadive.com/news/gsk-hengrui-collaboration-copd-immunology-cancer-drugs/754161/
July 2025,acquisition,LaNova Medicines,Sino Biopharmaceutical,LaNova Medicines (full company acquisition),Oncology,Phase 1,$950.9M,~$500M (net of cash),N/A,Bispecific Antibody,"Sino Biopharm acquired the ~95% of LaNova it didn't already own for up to $951M, marking a rare Chinese pharma acquiring an innovative domestic biotech. LaNova's pipeline includes eight clinical-stage compounds, with assets already out-licensed to Merck and AstraZeneca. This signals maturation of China's pharma M&A market.",FierceBiotech,https://www.fiercebiotech.com/biotech/sino-biopharm-buys-merck-pd-1xvegf-bispecific-partner-lanova-951m
July 2025,licensing-out,Innovent Biologics,Takeda,Oncology portfolio (2 ADCs + 1 bispecific antibody including IBI3001),Oncology – Solid Tumors,Phase 1,$11B+,Not disclosed,Global ex-Greater China,ADC,"Takeda staked more than $11B in potential deal value on Innovent's cancer drugs, including ADCs and a bispecific targeting EGFR and B7H3 (IBI3001). This is a transformative deal for Takeda, which is rebuilding its oncology portfolio after losing exclusivity on top products like Vyvanse. The deal underscores China's emergence as a major source of innovative oncology assets for global pharma.",BioPharma Dive,https://www.biopharmadive.com/news/takeda-innovent-cancer-drug-licensing-deal-china/803454/
July 2025,acquisition,Sino Biopharm,LaNova Medicines,LaNova Medicines (full company acquisition),Oncology – Multiple Indications,Phase 2,Not disclosed,Not disclosed,N/A,Other,"Sino Biopharm acquired LaNova Medicines, the Shanghai-based biotech founded less than 6 years ago that built a pipeline of 8 clinical-stage compounds including assets licensed to AstraZeneca and Merck. The acquisition demonstrates how rapidly Chinese biotechs can generate value – LaNova's assets include a GPRC5D ADC (licensed to AZ) and a PD-1/VEGF bispecific (licensed to Merck for $588M upfront).",BioPharma Dive,https://www.biopharmadive.com/news/lanova-sino-biopharm-acquisition-china-cancer-drug/753051/
July 2025,acquisition,Sino Biopharmaceutical,LaNova Medicines,LaNova Medicines (PD-1/VEGF bispecifics and cancer pipeline),Oncology,Phase 1,$950.9M,~$500M net (after cash),N/A (full acquisition),Bispecific Antibody,"Sino Biopharmaceutical acquired the remaining ~95% of LaNova Medicines it didn't own for up to $951M, gaining control of the company that had previously licensed PD-1/VEGF drugs to both Merck and AstraZeneca. LaNova's pipeline includes LM-299 (licensed to Merck), anti-SIRPa antibody, and multiple bispecifics. The deal represents intra-China consolidation at a time when Western pharma is paying billions for Chinese PD-1/VEGF assets.",BioPharma Dive,https://www.biopharmadive.com/news/lanova-sino-biopharm-acquisition-china-cancer-drug/753051/
July 2025,licensing-out,CSPC Pharmaceutical Group,Madrigal Pharmaceuticals,Preclinical GLP-1 receptor agonist (for MASH combination),Hepatology – MASH / Metabolic,Preclinical,Not disclosed,$120M,Not disclosed,Small Molecule,"Madrigal paid CSPC $120M for a preclinical GLP-1 receptor agonist intended to be paired with its Rezdiffra MASH therapy. This was Madrigal's first China deal, preceding its February 2026 Ribo siRNA deal, as part of a broader strategy to build combination regimens around Rezdiffra. The deal highlights CSPC's expanding metabolic pipeline beyond its core obesity focus.",FierceBiotech,https://www.fiercebiotech.com/biotech/madrigal-pens-44b-deal-ribos-sirna-programs-latest-rezdiffra-mash-play
August 2025,newco-spinout,Fosun Pharma (S-Infinity Pharmaceuticals),Expedition Therapeutics,XH-S004 / EXPD-101 (DPP-1 inhibitor for COPD and bronchiectasis),Respiratory – COPD / Bronchiectasis,Phase 2,$645M,$17M,"Global ex-mainland China, Hong Kong, Macau",Small Molecule,"Expedition Therapeutics, a secretive US startup founded to in-license China assets, paid Fosun's S-Infinity subsidiary $17M upfront for ex-China rights to oral DPP-1 inhibitor XH-S004 with up to $645M total. The drug is in Phase 2 for bronchiectasis and Phase 1b for COPD in China, targeting the same mechanism as Insmed's newly approved Brinsupri (brensocatib). This was Expedition's debut deal, backed by Venrock, BVF and Lake Bleu Capital, and followed by a $165M Series A.",FierceBiotech,https://www.fiercebiotech.com/biotech/expedition-inks-645m-pact-pocket-fosuns-lung-disease-asset-knapsack
September 2025,licensing-out,Novatim Immune Therapeutics,Radiance Biopharma,KY-0301 (bispecific nano ADC),"Oncology – NSCLC, Colorectal Cancer",Preclinical,$1B+,$15M,Global ex-China,,Boston-based Radiance Biopharma licensed rights to what Novatim claims is the first bispecific nano ADC (KY-0301). The technology promises better tumor tissue penetration and improved safety vs traditional bispecific ADCs. Reflects the continued ADC innovation wave coming out of China's biotech ecosystem.,FierceBiotech,https://www.fiercebiotech.com/biotech/boston-biotech-radiance-offers-china-biopharma-1b-plus-rights-next-gen-adc
September 2025,licensing-out,Argo Biopharmaceutical,Novartis,Cardiovascular genetic medicine (lipid-lowering),Cardiovascular – Dyslipidemia,Phase 2,$5.2B,Not disclosed,Global ex-China,,Novartis signed a blockbuster $5.2B deal with China's Argo Biopharmaceutical for experimental cardiovascular genetic medicines targeting high blood fat levels and cholesterol. The deal includes a mid-stage genetic medicine plus options on two additional cholesterol candidates. Represents Novartis's aggressive move into cardiometabolic genetic therapies from Chinese innovation.,STAT News,https://www.statnews.com/pharmalot/2025/09/03/gilead-hiv-drugs-novartis-china-deal-cdc-novo-vaccines/
September 2025,licensing-out,Argo Biopharma,Novartis,RNA cardiovascular portfolio (including BW-00112 RNAi drug),"Cardiovascular – Hypertriglyceridemia, Dyslipidemia",Phase 2,$5.2B,$160M,Global ex-China,siRNA,"Novartis expanded its collaboration with Argo Biopharma, paying $160M upfront for a portfolio of RNAi cardiovascular drugs including options on discovery-stage molecules and right of first negotiation for BW-00112 (Phase 2). This builds on prior $185M deals from 2024, bringing total Novartis-Argo commitments to potentially billions. Signals growing non-oncology China out-licensing in cardiology via RNAi.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/novartis-signs-up-52-billion-licensing-deal-with-chinas-biotech-argo-heart-drugs-2025-09-03/
September 2025,licensing-out,Hansoh Pharma,Roche,ADC for colorectal cancer and solid tumors,"Oncology – Colorectal Cancer, Solid Tumors",Phase 1,$1.53B,$80M,Global ex-Greater China,ADC,"Roche licensed a Hansoh ADC candidate targeting colorectal cancer and solid tumors for $80M upfront and up to $1.45B in milestones and royalties. This adds to Hansoh's growing deal portfolio, which includes the Merck GLP-1 deal and GSK ADC partnerships. Roche's CRC expertise (Avastin) makes this a strategic pipeline extension.",FierceBiotech,https://www.fiercebiotech.com/biotech/licensing-galore-roche-ties-hansoh-adcs-rani-rounds-out-week-chugai-drug-delivery-pact
September 2025,licensing-out,Hengrui Pharma,Glenmark Specialty S.A.,Trastuzumab rezetecan (HER2-directed ADC),"Oncology – NSCLC, Solid Tumors",Approved,$1.1B,$18M,"Global ex-China, US, Europe and select markets",ADC,"Hengrui licensed its China-approved HER2-directed ADC trastuzumab rezetecan to Glenmark Specialty for emerging markets excluding China, US, Europe and a few other regions. While the $18M upfront is modest, milestones of up to $1.09B reflect commercial potential. The ADC was approved in China in May 2025 for advanced NSCLC, demonstrating Hengrui's strategy of tiered regional licensing.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/chinas-jiangsu-hengrui-grant-license-cancer-drug-swiss-unit-indias-glenmark-2025-09-24/
September 2025,licensing-out,Unknown Chinese firm,Radiance Biopharma,Next-generation ADC,Oncology,Not disclosed,$1B+,Not disclosed,Global ex-China,ADC,"Boston-based Radiance Biopharma offered a Chinese firm over $1B for rights to a next-generation ADC, underscoring the premium that even emerging US biotechs are now willing to pay for Chinese-developed ADC technology. This deal reflects the continued boom in Chinese ADC out-licensing.",FierceBiotech,https://www.fiercebiotech.com/biotech/boston-biotech-radiance-offers-china-biopharma-1b-plus-rights-next-gen-adc
September 2025,licensing-out,Argo Biotherapeutics,Novartis,RNA drugs targeting ANGPTL3,Cardiovascular / Metabolic,Preclinical,$5B+,Not disclosed,Not disclosed,Oligonucleotide,"Novartis licensed RNA drugs from China-based Argo Biotherapeutics in a deal worth potentially over $5 billion, continuing its strategy of tapping Chinese biotech innovation. The deal targets ANGPTL3, a validated cardiovascular/metabolic target, and represents one of several deals Novartis has struck with China-based companies in recent years. The sizable deal value underscores growing confidence in Chinese RNA therapeutic platforms.",BioPharma Dive,https://www.biopharmadive.com/news/novartis-argo-licensing-deal-angptl3-rna-china/759101/
September 2025,newco-spinout,Jiangsu Hengrui Pharmaceuticals,Braveheart Bio,HRS-1893 / BHB-1893 (selective myosin inhibitor for HCM),Cardiovascular – Hypertrophic Cardiomyopathy,Phase 3,$1B+,$32.5M cash + $32.5M equity,Global ex-Greater China and Taiwan,Small Molecule,"Hengrui licensed its selective myosin inhibitor HRS-1893 to stealth startup Braveheart Bio, which later raised $185M Series A from Andreessen Horowitz, Forbion, OrbiMed, and others. The drug is positioned as a potential best-in-class challenger to Bristol Myers' Camzyos and Cytokinetics' aficamten. The deal is one of at least 20 between Chinese biotechs and privately held US/EU companies in 2025, reflecting a new model of startups being built entirely around China-licensed assets.",BioPharma Dive,https://www.biopharmadive.com/news/braveheart-hengrui-hypertrophic-cardiomyopathy-china-licensing-deal/759365/
September 2025,licensing-out,Argo Biopharmaceutical (China-based),Novartis,RNA drugs targeting ANGPTL3 and other targets,Cardiovascular / Metabolic,Preclinical,$5B+,Not disclosed,Not disclosed,siRNA,"Novartis struck a potentially $5B+ alliance with China-based Argo Biopharmaceutical for RNA drugs including ANGPTL3-targeting assets. This is one of several deals Novartis has made with Chinese biotechs in recent years, reflecting the Swiss pharma giant's willingness to tap China's RNA therapeutics innovation. The alliance significantly expands Novartis's RNA platform beyond its existing siRNA capabilities.",BioPharma Dive,https://www.biopharmadive.com/news/novartis-argo-licensing-deal-angptl3-rna-china/759101/
September 2025,newco-spinout,Mabwell Bioscience,Kalexo Bio (backed by Aditum Bio),2MW7141 (dual-target siRNA for dyslipidemia / ASCVD prevention),Cardiovascular – Dyslipidemia,Preclinical,$1B,$12M,Worldwide,siRNA,Aditum Bio's incubator model created Kalexo Bio to advance Mabwell's dual-target siRNA candidate targeting lipid management. 2MW7141 demonstrated potent suppression of target genes in preclinical studies. Mabwell retains equity in Kalexo alongside up to $1B in milestones and royalties — following the equity-retention model pioneered after the Aiolos/GSK lesson.,Contract Pharma,https://www.contractpharma.com/breaking-news/mabwell-bioscience-aditum-bio-form-kalexo-bio/
October 2025,licensing-out,Innovent Biologics,Takeda,"IBI363 (PD-1/IL-2 bispecific) and IBI343 (Claudin 18.2 ADC), plus option on IBI3001 (EGFR/B7H3 ADC)",Oncology – Solid Tumors,Phase 3,$11.4B,$1.2B,Global ex-Greater China,"Bispecific Antibody, ADC","One of the largest China biotech out-licensing deals ever, with $1.2B upfront and $100M equity investment from Takeda. The deal includes two late-stage cancer assets (IBI363 and IBI343) plus an option on early-stage IBI3001. Takeda views this as transformative for its post-Entyvio oncology growth strategy, with 60/40 cost and profit sharing in the US.",FierceBiotech,https://www.fiercebiotech.com/biotech/takeda-pays-innovent-12b-upfront-rights-2-cancer-candidates
October 2025,licensing-out,Innovent Biologics,Takeda,IBI363 (PD-1/IL-2 bispecific) and up to 2 other cancer drugs,Oncology – Solid Tumors,Phase 1/2,$11.4B,$1.2B + $100M equity,Global ex-Greater China,Bispecific Antibody,"Takeda paid $1.2B upfront plus a $100M equity investment for rights to up to three next-generation cancer drugs from Innovent, with milestones up to $10.2B. Lead asset IBI363 (PD-1/IL-2 bispecific) shows potential across multiple solid tumors including in immunotherapy-resistant patients. Takeda called the deal 'transformative' for its oncology portfolio, continuing its China expansion after its 2023 Hutchmed/Fruzaqla acquisition.",BioPharma Dive,https://www.biopharmadive.com/news/takeda-innovent-cancer-drug-licensing-deal-china/803454/
October 2025,licensing-out,Qyuns Therapeutics,Roche,QX031N (anti-TSLP/IL-33 bispecific antibody),"Respiratory – COPD, Asthma",Phase 1,$1.07B,$75M,Worldwide,Bispecific Antibody,"Roche secured global rights to Qyuns' dual-targeting TSLP/IL-33 bispecific for COPD and asthma after its own astegolimab failed Phase 3. The deal reflects Roche's continued China sourcing strategy beyond oncology, moving into respiratory diseases. QX031N's novel dual-target mechanism could address inflammation more comprehensively than single-target approaches.",FierceBiotech,https://www.fiercebiotech.com/biotech/roche-pens-1b-biobucks-deal-chinese-companys-respiratory-disease-bispecific
October 2025,licensing-out,InnoCare Pharma,Zenas BioPharma,Orelabrutinib (BTK inhibitor) and 2 additional immune drugs,Immunology – Multiple Sclerosis / Autoimmune,Phase 3,$2B+,$100M (upfront + near-term milestones) + 7M shares,Worldwide (ex-oncology),Small Molecule,"Zenas BioPharma licensed orelabrutinib (BTK inhibitor) from InnoCare for non-oncology autoimmune indications, with the drug already in Phase 3 for primary progressive MS. The deal includes two additional earlier-stage autoimmune drug candidates, plus equity consideration. Zenas continues to build its pipeline from Chinese sources, having also previously licensed obexelimab from Xencor—a strategy that bets on China's autoimmune innovation.",BioPharma Dive,https://www.biopharmadive.com/news/zenas-innocare-china-deal-immune-drugs-multiple-sclerosis-btk/802323/
October 2025,licensing-out,Hansoh Pharmaceuticals,Roche,ADC candidate for colorectal cancer and solid tumors,Oncology – Colorectal Cancer / Solid Tumors,Phase 1,$1.53B,$80M,Global ex-Greater China,ADC,"Roche paid $80M upfront to Hansoh for ex-Greater China rights to an ADC candidate for colorectal cancer and other solid tumors, with up to $1.45B in milestones and royalties. The drug is in Phase 1 testing in China and the US. Roche has deep CRC experience via Avastin and is adding next-gen ADC technology from China's prolific licensing dealmaker Hansoh, which has inked multiple high-profile deals in oncology and obesity.",FierceBiotech,https://www.fiercebiotech.com/biotech/licensing-galore-roche-ties-hansoh-adcs-rani-rounds-out-week-chugai-drug-delivery-pact
October 2025,licensing-out,Innovent Biologics,Takeda Pharmaceutical,IBI363 (PD-1/IL-2 bispecific) and IBI343 (Claudin 18.2 ADC) + option for 3rd candidate,Oncology – Solid Tumors,Phase 3,$11.4B,$1.2B (plus $100M equity),Global ex-Greater China,Bispecific Antibody / ADC,"Takeda paid $1.2B upfront plus a $100M equity investment for ex-Greater China rights to two Innovent cancer candidates (IBI363 and IBI343) plus an option on a third asset, with up to $10.2B in milestones. This transformative deal positions Takeda's post-Entyvio oncology strategy around Chinese-originated biologics. At $11.4B total potential value, it is one of the largest China biotech licensing deals ever, reflecting the sector's maturation from discount generics to premium innovation.",BioPharma Dive,https://www.biopharmadive.com/news/takeda-innovent-cancer-drug-licensing-deal-china/803454/
December 2025,licensing-out,Kelun-Biotech,Crescent Biopharma,ADC (antibody-drug conjugate),Oncology,Preclinical,$80M,$80M,Global ex-China,ADC,"Crescent Biopharma, which went public via reverse merger in June 2025 raising $200M, licensed Kelun-Biotech's ADC to pair with its PD-1xVEGF bispecific. Kelun-Biotech has become a prolific ADC out-licensor. The combination strategy mirrors the emerging oncology approach of pairing ADCs with immune checkpoint bispecifics.",FierceBiotech,https://www.fiercebiotech.com/biotech/crescent-waxes-pipeline-80m-kelun-deal-bagging-adc-pair-pd-1xvegf-bispecific
December 2025,licensing-out,Fosun Pharma (subsidiary),Pfizer,Oral obesity drug,Metabolic – Obesity,Phase 1,$2B,Not disclosed,Global ex-China,Small Molecule,Pfizer turned to China for a second attempt at an oral obesity pill after its internal GLP-1 programs struggled. The deal with a Fosun Pharma subsidiary (Yaopharma) for up to $2B gives Pfizer a new oral weight loss candidate and reflects Big Pharma's willingness to source even in the highly competitive metabolic space from China.,BioPharma Dive,https://www.biopharmadive.com/news/pfizer-yaopharma-fosun-obesity-pill-deal-china/807375/
December 2025,licensing-out,YaoPharma (Fosun Pharma subsidiary),Pfizer,Oral obesity/weight management drug,Metabolic – Obesity / Weight Management,Not disclosed,$2.09B,$150M,Not disclosed,Small Molecule,"After discontinuing two internal oral GLP-1 candidates due to liver safety issues, Pfizer licensed YaoPharma/Fosun's experimental weight management drug for $150M upfront and up to $1.94B in milestones. This deal underscores Pfizer's desperation to re-enter the oral obesity race and China's growing role as a source of obesity drug candidates.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/drugmakers-bulk-up-with-bets-weight-loss-treatments-2023-05-12/
December 2025,licensing-out,Jacobio Pharma,AstraZeneca,Clinical-stage multitarget asset,Oncology,Phase 1,$2.01B,$100M,Not disclosed,Not disclosed,"AstraZeneca paid $100M upfront plus up to $1.91B in milestones for rights to a clinical-stage multitarget asset from Jacobio Pharma. This deal adds to AZ's aggressive China deal-making streak alongside the CSPC obesity portfolio and other partnerships, demonstrating the company's deep commitment to sourcing innovation from Chinese biotechs.",FierceBiotech,https://www.fiercebiotech.com/biotech/despite-geopolitical-pressures-china-biotech-deals-remain-pace-collective-value-soars
December 2025,licensing-out,Simcere Zaiming,Ipsen,SIM0613 (ADC targeting protein on tumors and cancer-associated fibroblasts),Oncology,Phase 1,$1.06B,Not disclosed,Global ex-China,ADC,"Ipsen deepened its push into the ADC space by licensing SIM0613 from Nanjing-based Simcere Zaiming in a deal worth up to $1.06B. The ADC targets a protein highly expressed on multiple tumor types and cancer-associated fibroblasts, potentially offering broad applicability. This was part of a wave of late-2025 China licensing deals by Western pharma companies.",FierceBiotech,https://www.fiercebiotech.com/biotech/despite-geopolitical-pressures-china-biotech-deals-remain-pace-collective-value-soars
December 2025,licensing-out,YaoPharma (Fosun Pharmaceutical subsidiary),Pfizer,YP05002 (oral GLP-1 agonist),Metabolic – Obesity,Phase 1,$1.94B,$150M,Worldwide,Small Molecule,Pfizer paid $150M upfront plus up to $1.94B in milestones and royalties for worldwide rights to YaoPharma's oral GLP-1 agonist YP05002 and related GLP-1 programs. The deal fills a critical gap for Pfizer after it discontinued two internal oral GLP-1 candidates (lotiglipron and danuglipron) due to liver safety concerns. Reflects growing trend of Western pharma turning to Chinese innovators for obesity drugs.,FierceBiotech,https://www.fiercebiotech.com/biotech/pfizer-continues-renewed-obesity-push-2b-pact-fosun-units-glp-1-drug
December 2025,licensing-out,Zejing Biopharmaceutical,AbbVie,Alveltamig / ZG006 (DLL3-targeting trispecific T-cell binder),Oncology – Small Cell Lung Cancer,Phase 3,Not disclosed,$100M,Global ex-China,Bispecific Antibody,"AbbVie paid $100M upfront to Zejing Biopharmaceutical for the option to license alveltamig (ZG006), a DLL3-targeting trispecific T-cell binder being evaluated in late-stage trials for small cell lung cancer and other DLL3-expressing malignancies. The deal highlights the intense competition in DLL3-targeting therapies for SCLC, where multiple companies are racing to develop treatments. AbbVie continues to expand its oncology pipeline through China-originated assets.",FierceBiotech,https://www.fiercebiotech.com/biotech/abbvie-gilead-gift-themselves-clinical-stage-cancer-drugs
December 2025,licensing-in,Adlai Nortye,ASK Pharm,AN9025 (preclinical pan-RAS inhibitor),Oncology – RAS-mutant cancers,Preclinical,$230M (1.6B CNY),~$20M (upfront + near-term milestones),China,Small Molecule,ASK Pharm licensed the China rights to Adlai Nortye's preclinical pan-RAS inhibitor AN9025 in a deal worth 1.6 billion CNY (~$230M). AN9025 is designed to target a broad spectrum of RAS mutations across various tumor types. Preclinical studies demonstrate potent and durable efficacy against RAS-mutant cancers. A Phase 1 trial was planned for Q1 2026. This is a notable intra-China/cross-border deal (Adlai Nortye is Hangzhou/New Jersey-based).,FierceBiotech,https://www.fiercebiotech.com/biotech/abbvie-gilead-gift-themselves-clinical-stage-cancer-drugs
December 2025,licensing-out,Lynk Pharmaceuticals,Formation Bio (Bleecker Bio subsidiary),Next-generation immunology asset,Immunology – Autoimmune / Inflammatory,Not disclosed,$600M+,Not disclosed,Global ex-Greater China,Small Molecule,"Formation Bio's subsidiary Bleecker Bio secured ex-China rights to a next-generation immunology asset from China's Lynk Pharmaceuticals in a deal worth over $600M in biobucks. Lynk gained a minority equity stake in Bleecker Bio. This deal kicked off Formation Bio's China licensing spree, demonstrating the growing trend of AI-driven drug developers sourcing clinical assets from Chinese biotechs.",FierceBiotech,https://www.fiercebiotech.com/biotech/formation-bios-china-shopping-spree-continues-500m-biobucks-autoimmune-pact
December 2025,licensing-out,Fosun Pharma (YaoPharma subsidiary),Pfizer,YP05002 (oral GLP-1 agonist for obesity),Metabolic – Obesity,Phase 1,$1.94B,$150M,Worldwide,Small Molecule,"Pfizer paid $150M upfront to Fosun's YaoPharma subsidiary for worldwide rights to oral GLP-1 agonist YP05002 and related GLP-1 assets. The drug is in Phase 1 for weight management in Australia. This deal reflects Pfizer's aggressive pivot into obesity after internal GLP-1 failures and its $10B acquisition of Metsera. Pfizer is now sourcing obesity assets from China, signaling the breadth of China's innovation in the metabolic/obesity space.",FierceBiotech,https://www.fiercebiotech.com/biotech/pfizer-continues-renewed-obesity-push-2b-pact-fosun-units-glp-1-drug
